Product,Date,Time,SN,MAC,Result,Filename
TN-86_PICO-IMX7,2026-01-07,10:42:55,513126020041,001F7B6BD010_001F7B6BD011,PASS,20260107_104255_513126020041_001F7B6BD010_001F7B6BD011_PASS.txt
TN-86_PICO-IMX7,2026-01-07,10:44:15,513126020043,001F7B6BD014_001F7B6BD015,PASS,20260107_104415_513126020043_001F7B6BD014_001F7B6BD015_PASS.txt
TN-86_PICO-IMX7,2026-01-07,10:46:02,513126020210,001F7B6BD162_001F7B6BD163,PASS,20260107_104602_513126020210_001F7B6BD162_001F7B6BD163_PASS.txt
TN-86_PICO-IMX7,2026-01-07,10:46:12,513126020208,001F7B6BD15E_001F7B6BD15F,PASS,20260107_104612_513126020208_001F7B6BD15E_001F7B6BD15F_PASS.txt
TN-86_PICO-IMX7,2026-01-07,10:46:45,513126020212,001F7B6BD166_001F7B6BD167,PASS,20260107_104645_513126020212_001F7B6BD166_001F7B6BD167_PASS.txt
TN-86_PICO-IMX7,2026-01-07,10:46:46,513126020209,001F7B6BD160_001F7B6BD161,PASS,20260107_104646_513126020209_001F7B6BD160_001F7B6BD161_PASS.txt
TN-86_PICO-IMX7,2026-01-07,10:49:59,513126020220,001F7B6BD176_001F7B6BD177,PASS,20260107_104959_513126020220_001F7B6BD176_001F7B6BD177_PASS.txt
TN-86_PICO-IMX7,2026-01-07,10:52:30,513126020051,001F7B6BD024_001F7B6BD025,PASS,20260107_105230_513126020051_001F7B6BD024_001F7B6BD025_PASS.txt
TN-86_PICO-IMX7,2026-01-07,10:53:08,513126020181,001F7B6BD128_001F7B6BD129,PASS,20260107_105308_513126020181_001F7B6BD128_001F7B6BD129_PASS.txt
TN-86_PICO-IMX7,2026-01-07,10:53:42,513126020176,001F7B6BD11E_001F7B6BD11F,PASS,20260107_105342_513126020176_001F7B6BD11E_001F7B6BD11F_PASS.txt
TN-86_PICO-IMX7,2026-01-07,10:54:39,513126020224,001F7B6BD17E_001F7B6BD17F,PASS,20260107_105439_513126020224_001F7B6BD17E_001F7B6BD17F_PASS.txt
TN-86_PICO-IMX7,2026-01-07,10:56:22,513126020174,001F7B6BD11A_001F7B6BD11B,PASS,20260107_105622_513126020174_001F7B6BD11A_001F7B6BD11B_PASS.txt
TN-86_PICO-IMX7,2026-01-07,10:56:39,513126020172,001F7B6BD116_001F7B6BD117,PASS,20260107_105639_513126020172_001F7B6BD116_001F7B6BD117_PASS.txt
TN-86_PICO-IMX7,2026-01-07,10:58:57,513126020223,001F7B6BD17C_001F7B6BD17D,PASS,20260107_105857_513126020223_001F7B6BD17C_001F7B6BD17D_PASS.txt
TN-86_PICO-IMX7,2026-01-07,10:59:50,513126020179,001F7B6BD124_001F7B6BD125,PASS,20260107_105950_513126020179_001F7B6BD124_001F7B6BD125_PASS.txt
TN-86_PICO-IMX7,2026-01-07,10:59:51,513126020159,001F7B6BD0FC_001F7B6BD0FD,PASS,20260107_105951_513126020159_001F7B6BD0FC_001F7B6BD0FD_PASS.txt
TN-86_PICO-IMX7,2026-01-07,11:00:56,513126020183,001F7B6BD12C_001F7B6BD12D,PASS,20260107_110056_513126020183_001F7B6BD12C_001F7B6BD12D_PASS.txt
TN-86_PICO-IMX7,2026-01-07,11:02:33,513126020156,001F7B6BD0F6_001F7B6BD0F7,PASS,20260107_110233_513126020156_001F7B6BD0F6_001F7B6BD0F7_PASS.txt
TN-86_PICO-IMX7,2026-01-07,11:05:11,513126020157,001F7B6BD0F8_001F7B6BD0F9,PASS,20260107_110511_513126020157_001F7B6BD0F8_001F7B6BD0F9_PASS.txt
TN-86_PICO-IMX7,2026-01-07,11:05:15,513126020225,001F7B6BD180_001F7B6BD181,PASS,20260107_110515_513126020225_001F7B6BD180_001F7B6BD181_PASS.txt
TN-86_PICO-IMX7,2026-01-07,11:06:08,513126020154,001F7B6BD0F2_001F7B6BD0F3,PASS,20260107_110608_513126020154_001F7B6BD0F2_001F7B6BD0F3_PASS.txt
TN-86_PICO-IMX7,2026-01-07,11:08:25,513126020166,001F7B6BD10A_001F7B6BD10B,PASS,20260107_110825_513126020166_001F7B6BD10A_001F7B6BD10B_PASS.txt
